dataset,seed,Precision,HR,F1,diversity,CC,Genres
random,0,0.07440987963107545,0.007616416400784763,0.013818413241100495,0.039152695512498746,0.1013715310630721,0
random,0,0.08332030639362069,0.00877605373168087,0.015879530631952517,0.04407188033329987,0.11248693877885754,1
random,0,0.0950758167891197,0.009706022574413102,0.017613892438638076,0.05109928722015862,0.13064512147962679,2
random,0,0.10967641081757143,0.012053594006237973,0.02172011625186104,0.05923100090352374,0.1590959578091565,3
random,0,0.12956073159293624,0.014969183671421334,0.026837604993693122,0.07097680955727337,0.2035493611314406,4
random,0,0.15107081444427303,0.01749857820403529,0.03136422833788913,0.08422849111534987,0.258739705289477,5
random,0,0.1686415507269062,0.019384085666484502,0.03477145275423781,0.08844493524746512,0.3103675242506755,6
random,0,0.1791152102548106,0.02105956682716407,0.03768795244945369,0.09346451159522136,0.3632047917198026,7
random,0,0.18777551977489898,0.022639943918191404,0.04040793544635813,0.09025198273265736,0.41896283619788116,8
random,0,0.18808816632797062,0.022860509873309887,0.0407662324393124,0.07870695713281799,0.47946817175813816,9
random,0,0.17945912146318982,0.021658004971428692,0.03865137309508579,0.06143961449653649,0.5484890121191759,10
random,0,0.16360794122245081,0.019188531032714437,0.03434854096049775,0.04788675835759462,0.6058020618217593,11
random,0,0.149101141159921,0.016647041704615794,0.029950167443145777,0.038751129404678245,0.6370831722106828,12
random,0,0.13634516179459302,0.015336328010368128,0.027571381670859593,0.03272763778737075,0.6514895962745968,13
random,0,0.12862279193372053,0.013983701718477652,0.025224976935280485,0.027607669912659373,0.6623417226825343,14
random,0,0.12283883070189314,0.013277073662347512,0.02396399173841347,0.02439514105009537,0.6771101585447409,15
random,0,0.11874316085665275,0.012897372026371885,0.023267525398373064,0.024093966469229997,0.6984935372666766,16
random,0,0.11655463498515028,0.01244000221175433,0.02248062320284244,0.025700230900511996,0.7237191775750467,17
random,0,0.11202125996560985,0.012672590019217585,0.02276935873185567,0.028210019074390122,0.7297335099512373,18
random,54425,0.07491011411599026,0.007604071664709993,0.013806641143220876,0.03895191245858849,0.10379865561981268,0
random,54425,0.08610286071595952,0.009081400506402812,0.016429912947098443,0.044373054914165246,0.11347424368329397,1
random,54425,0.09738940128185072,0.010321058790013323,0.018664143398580597,0.051199678747113744,0.13219189916324536,2
random,54425,0.11164608410192355,0.01213896484097639,0.021897117642553206,0.062644312819998,0.1621401479311713,3
random,54425,0.13074878849460872,0.01441131983430571,0.025961162892966384,0.07177994177291437,0.20860107122581112,4
random,54425,0.15222760669063903,0.01691883430843126,0.03045306350586614,0.08272261821102299,0.2588960285660132,5
