"Slate Size",Algorithm,Seed,"Precision (%)","Recall (%)"
25,List-CVAE,0,0.19038299202751197,0.11337034225202872
50,List-CVAE,0,0.15204939815538238,0.1621365179608149
100,List-CVAE,0,0.1212787244020603,0.2274671421959685
25,List-CVAE,54425,0.19028294513052854,0.11324312585541457
50,List-CVAE,54425,0.15606065343129297,0.16651123283323885
100,List-CVAE,54425,0.12213224949194668,0.22935815461222014
25,List-CVAE,954358,0.18726277942785555,0.11189628097046576
50,List-CVAE,954358,0.1571455369704524,0.1661967456246718
100,List-CVAE,954358,0.1186274816320119,0.21809764369211548
25,Random,0,0.007368256450351737,0.0025402779839652358
50,Random,0,0.007862392494136125,0.005540541409504692
100,Random,0,0.009213843387322063,0.007590304925723259
25,Random,54425,0.007768569194683235,0.0023599390628164596
50,Random,54425,0.007580922595778054,0.0050075658499828994
100,Random,54425,0.007360437842064142,0.00958119649040971
25,Random,954358,0.007362001563721558,0.002247709719464777
50,Random,954358,0.007537138389366793,0.005400366393253708
100,Random,954358,0.007579358874120436,0.009835164112063356
25,Pop-K,0,0.0500891321344806,0.029538280320033243
50,Pop-K,0,0.047853010164191245,0.050028589327117005
100,Pop-K,0,0.04581078967943675,0.08930087470947223
25,BPR,0,0.1416163826793816,0.0715070226128355
50,BPR,0,0.11960293887759646,0.11615178505769597
100,BPR,0,0.09674534938252051,0.17789953003963122
25,BPR,54425,0.14227294044083266,0.07207767072874362
50,BPR,54425,0.11950289198061391,0.11654213183209254
100,BPR,54425,0.09670939502891715,0.17830056756446894
25,BPR,954358,0.14201657026731282,0.07192712653747609
50,BPR,954358,0.11988119430983024,0.11625477277401516
100,BPR,954358,0.09694387994372117,0.1785779357272121
25,ALS,0,0.16458965139909337,0.08484733284920468
50,ALS,0,0.14009066750038773,0.13790826067544096
100,ALS,0,0.11526340472095976,0.21141557462197483
25,ALS,54425,0.16435829294981993,0.085093657489215
50,ALS,54425,0.140168829138656,0.1375347518396368
100,ALS,54425,0.11530404877285938,0.21067322379932762
25,ALS,954358,0.16434578708769743,0.08502732180408946
50,ALS,954358,0.14000937939658933,0.1377636578161573
100,ALS,954358,0.1152977958417973,0.2110208795017507
