algorithm,seed,year,count
ALS,0,1902,0
ALS,0,1903,0
ALS,0,1915,0
ALS,0,1916,0
ALS,0,1917,0
ALS,0,1918,0
ALS,0,1919,0
ALS,0,1920,0
ALS,0,1921,0
ALS,0,1922,1
ALS,0,1923,0
ALS,0,1924,0
ALS,0,1925,0
ALS,0,1926,1
ALS,0,1927,4
ALS,0,1928,0
ALS,0,1929,0
ALS,0,1930,0
ALS,0,1931,5
ALS,0,1932,0
ALS,0,1933,3
ALS,0,1934,2
ALS,0,1935,3
ALS,0,1936,0
ALS,0,1937,21
ALS,0,1938,2
ALS,0,1939,46
ALS,0,1940,35
ALS,0,1941,73
ALS,0,1942,71
ALS,0,1943,0
ALS,0,1944,6
ALS,0,1945,0
ALS,0,1946,21
ALS,0,1947,0
ALS,0,1948,4
ALS,0,1949,4
ALS,0,1950,24
ALS,0,1951,19
ALS,0,1952,7
ALS,0,1953,13
ALS,0,1954,46
ALS,0,1955,10
ALS,0,1956,0
ALS,0,1957,28
ALS,0,1958,34
ALS,0,1959,36
ALS,0,1960,52
ALS,0,1961,11
ALS,0,1962,41
ALS,0,1963,21
ALS,0,1964,136
ALS,0,1965,16
ALS,0,1966,21
ALS,0,1967,46
ALS,0,1968,129
ALS,0,1969,12
ALS,0,1970,6
ALS,0,1971,176
ALS,0,1972,29
ALS,0,1973,34
ALS,0,1974,162
ALS,0,1975,315
ALS,0,1976,130
ALS,0,1977,89
ALS,0,1978,37
ALS,0,1979,244
ALS,0,1980,265
ALS,0,1981,229
ALS,0,1982,293
ALS,0,1983,214
ALS,0,1984,280
ALS,0,1985,218
ALS,0,1986,224
ALS,0,1987,242
ALS,0,1988,294
ALS,0,1989,341
ALS,0,1990,421
ALS,0,1991,329
ALS,0,1992,374
ALS,0,1993,640
ALS,0,1994,1225
ALS,0,1995,1118
ALS,0,1996,554
ALS,0,1997,999
ALS,0,1998,1065
ALS,0,1999,2098
ALS,0,2000,1408
ALS,0,2001,1817
ALS,0,2002,1330
ALS,0,2003,1255
ALS,0,2004,1550
ALS,0,2005,788
ALS,0,2006,1345
ALS,0,2007,888
ALS,0,2008,1475
ALS,0,2009,1340
ALS,0,2010,1166
ALS,0,2011,412
ALS,0,2012,1129
ALS,0,2013,512
ALS,0,2014,1312
ALS,0,2015,574
ALS,0,2016,35
ALS,0,2017,0
ALS,0,2018,0
ALS,0,2019,0
BPR,0,1902,0
BPR,0,1903,0
BPR,0,1915,0
BPR,0,1916,0
BPR,0,1917,0
BPR,0,1918,0
BPR,0,1919,0
BPR,0,1920,0
BPR,0,1921,0
BPR,0,1922,2
BPR,0,1923,0
BPR,0,1924,0
BPR,0,1925,0
BPR,0,1926,0
BPR,0,1927,9
BPR,0,1928,0
BPR,0,1929,0
BPR,0,1930,0
BPR,0,1931,22
BPR,0,1932,0
BPR,0,1933,6
BPR,0,1934,5
BPR,0,1935,1
BPR,0,1936,15
BPR,0,1937,7
BPR,0,1938,3
BPR,0,1939,24
BPR,0,1940,53
BPR,0,1941,29
BPR,0,1942,59
BPR,0,1943,0
BPR,0,1944,13
BPR,0,1945,0
BPR,0,1946,24
BPR,0,1947,0
BPR,0,1948,26
BPR,0,1949,35
BPR,0,1950,122
BPR,0,1951,24
BPR,0,1952,27
BPR,0,1953,55
BPR,0,1954,92
BPR,0,1955,26
BPR,0,1956,5
BPR,0,1957,57
BPR,0,1958,19
BPR,0,1959,73
BPR,0,1960,22
BPR,0,1961,43
BPR,0,1962,34
BPR,0,1963,29
BPR,0,1964,129
BPR,0,1965,27
BPR,0,1966,43
BPR,0,1967,42
BPR,0,1968,74
BPR,0,1969,13
BPR,0,1970,10
BPR,0,1971,73
BPR,0,1972,139
BPR,0,1973,32
BPR,0,1974,90
BPR,0,1975,130
BPR,0,1976,68
BPR,0,1977,228
BPR,0,1978,38
BPR,0,1979,164
BPR,0,1980,161
BPR,0,1981,114
BPR,0,1982,144
BPR,0,1983,127
BPR,0,1984,113
BPR,0,1985,86
BPR,0,1986,137
BPR,0,1987,120
BPR,0,1988,147
BPR,0,1989,122
BPR,0,1990,106
BPR,0,1991,238
BPR,0,1992,150
BPR,0,1993,203
BPR,0,1994,777
BPR,0,1995,414
BPR,0,1996,189
BPR,0,1997,337
BPR,0,1998,389
BPR,0,1999,1289
BPR,0,2000,872
BPR,0,2001,1196
BPR,0,2002,1264
BPR,0,2003,1567
BPR,0,2004,1621
BPR,0,2005,1058
BPR,0,2006,2043
BPR,0,2007,1672
BPR,0,2008,3415
BPR,0,2009,3471
BPR,0,2010,2534
BPR,0,2011,626
BPR,0,2012,1516
BPR,0,2013,342
BPR,0,2014,852
BPR,0,2015,289
BPR,0,2016,23
BPR,0,2017,0
BPR,0,2018,0
BPR,0,2019,0
ALS,54425,1902,0
ALS,54425,1903,0
ALS,54425,1915,0
ALS,54425,1916,0
ALS,54425,1917,0
ALS,54425,1918,0
ALS,54425,1919,0
ALS,54425,1920,0
ALS,54425,1921,0
ALS,54425,1922,0
ALS,54425,1923,0
ALS,54425,1924,0
ALS,54425,1925,0
ALS,54425,1926,1
ALS,54425,1927,3
ALS,54425,1928,0
ALS,54425,1929,0
ALS,54425,1930,0
ALS,54425,1931,4
ALS,54425,1932,0
ALS,54425,1933,4
ALS,54425,1934,2
ALS,54425,1935,3
ALS,54425,1936,0
ALS,54425,1937,21
ALS,54425,1938,2
ALS,54425,1939,45
ALS,54425,1940,35
ALS,54425,1941,68
ALS,54425,1942,68
ALS,54425,1943,0
ALS,54425,1944,6
ALS,54425,1945,0
ALS,54425,1946,19
ALS,54425,1947,0
ALS,54425,1948,4
ALS,54425,1949,3
ALS,54425,1950,23
ALS,54425,1951,19
ALS,54425,1952,6
ALS,54425,1953,13
